Term,Translation,Context,Reference,Comment
web.forms.page.filling.geopoint.error.unknown,An unknown error occurred.,Error message that appears when a geopoint field is shown in a browser and some unknown error prevents the system from reading the current location.,,
web.forms.page.filling.geopoint.latitude,Latitude,This is the text that appears immediately before the latitude value once you've recorded your location in a geo field.,,
web.forms.page.filling.geopoint.longitude,Longitude,This is the text that appears immediately before the longitude value once you've recorded your location in a geo field.,,
web.forms.page.filling.geopoint.record.location.button,Record location,The primary button label in a geo field before you've recorded a location.,,
web.forms.page.filling.geopoint.replace.location.button,Replace location,This is the button label once you've recorded a location in a geo field.,,
web.forms.page.filling.geoshape.error.not.supported,"This field type is not supported in the web interface, so you'll need to use SurveyCTO Collect on an Android device to fill it out properly. Here, you will only be able to select a single GPS position.",Error message that appears when a geoshape field is shown in a web form (because geoshape fields are not supported in web forms).,,
web.forms.page.filling.geotrace.error.not.supported,"This field type is not supported in the web interface, so you'll need to use SurveyCTO Collect on an Android device to fill it out properly. Here, you will only be able to select a single GPS position.",Error message that appears when a geotrace field is shown in a web form (because geotrace fields are not supported in web forms).,,
web.forms.page.filling.go.to.button,Go to,The label for the 'go to' button.,,
web.forms.page.filling.go.to.UI.close,Close,The label for the red button in the 'go to' screen used to exit the 'go to' screen.,,
web.forms.page.filling.go.to.UI.go.there,Go there,The label for the button next to each field in the 'go to' screen.,,
web.forms.page.filling.go.to.UI.go.to.end,Go to end,The button label in the 'go to' screen for progressing to the end of the form.,,
web.forms.page.filling.go.to.UI.go.to.start,Go to start,The button label in the 'go to' screen for returning to the beginning of the form. ,,
web.forms.page.filling.go.to.UI.go.up,Go up,The button label in the 'go to' UI for when you are currently within an instance of a repeat group and you would like to 'go up' a level.,,
web.forms.page.filling.go.to.UI.resume,Resume,"When you return to a saved form to continue filling it out, this is the button label in the 'go to' UI for resuming where you left off.",,
web.forms.page.filling.image.align.error.not.supported,The 'align' appearance is not supported. Please upload a file instead.,Error message.,,
web.forms.page.filling.image.annotate.hint,Please upload an annotated image.,This is the message that appears above the buttons when filling out an image field with the 'annotate' appearance in a web form. ,,
web.forms.page.filling.image.draw.hint,Please upload a drawn image.,This is the message that appears above the buttons when filling out an image field with the 'draw' appearance in a web form. ,,
web.forms.page.filling.image.select.file.button,Select image,Button label in an image field for selecting an existing image. ,,
web.forms.page.filling.image.signature.hint,Please upload a file with your signature.,This is the message that appears above the buttons when filling out an image field with the 'signature' appearance in a web form. ,,
web.forms.page.filling.image.take.picture.button,Take picture,Button label in an image field for taking a new picture.,,
web.forms.page.filling.image.web.error.not.supported,The 'web' appearance is not supported. Please upload a file instead.,This is the message that appears above the buttons when filling out an image field with the 'web' appearance in a web form. ,,
web.forms.page.filling.input.field.placeholder.label,Your answer here...,"This is the placeholder text for the input boxes in text, decimal, and integer fields. ",,
web.forms.page.filling.integer.error.not.integer,Please enter an integer only.,The error message when you try to enter a non-integer into an integer field.,,
web.forms.page.filling.intro.text,"You are at the start of a form. When ready to begin, please click the <i>Next</i> button below or to the right.<br/><br/>At the end, you will have the opportunity to submit your responses.","Default message that appears at the beginning of a form. The <i>, </i>, and <br/> codes are HTML formatting (the beginning and end of italics and linebreaks, respectively) and should be kept in your translation unless you are comfortable hand-coding HTML.",,
web.forms.page.filling.last.screen.hint,Click the button below to submit this form as it is currently filled out.,This is the hint that appears on the last screen of a form for anonymous users (users who are not logged in to your server). It replaces the options to name and finalize the form.,,
web.forms.page.filling.last.screen.mark.finalized.checkbox,Mark form as finalized,The checkbox label when a logged-in user reaches the end of a form.,,
web.forms.page.filling.last.screen.name.label,Name this form,The input box label when a logged-in user reaches the end of a form.,,
web.forms.page.filling.last.screen.save.exit.button,Save Form and Exit,The button label for logged-in users when they reach the end of a form. ,,
web.forms.page.filling.last.screen.submit.button,Submit Form,The button label for anonymous users (users who are not logged in to your server) when they reach the end of a form. ,,
web.forms.page.filling.last.screen.title,You are at the end of {0},This is the headline on the last screen of a form. {0} gets replaced with the current form title and must be included in your translation.,,
web.forms.page.filling.login.panel.loggedin.as,You are currently logged in as,"This appears in the user dropdown menu in the top right for logged-in users, and is followed by the user's email address.",,
web.forms.page.filling.login.panel.login.and.continue.btn,Log in and continue,The button label in the user dropdown menu in the top right for anonymous users (users who are not logged in to your server).,,
web.forms.page.filling.login.panel.login.btn,Log in,,,
web.forms.page.filling.login.panel.logout.btn,Log out,The button label in the user dropdown menu in the top right for logged-in users. ,,
web.forms.page.filling.login.panel.not.loggedin.long,You are not currently logged in,This appears in the user dropdown menu in the top right for anonymous users (users who are not logged in to your server).,,
web.forms.page.filling.login.panel.not.loggedin.short,Not logged in,This is the label for the user dropdown menu in the top right for anonymous users (users who are not logged in to your server).,,
web.forms.page.filling.menu.add.comment,Add comment,"If your form contains a comments field, this is the menu option label to leave a comment. ",,
web.forms.page.filling.menu.appearance,Appearance,This is the dropdown menu label to change the appearance style (only available to logged-in users).,,
web.forms.page.filling.menu.appearance.default,Default,Label in the Appearance dropdown menu for the 'default' appearance style.,,
web.forms.page.filling.menu.appearance.small,Small,Label in the Appearance dropdown menu for the 'small' appearance style.,,
web.forms.page.filling.menu.appearance.small.wide,Small wide,Label in the Appearance dropdown menu for the 'small wide' appearance style.,,
web.forms.page.filling.menu.appearance.wide,Wide,Label in the Appearance dropdown menu for the 'wide' appearance style.,,
web.forms.page.filling.menu.change.language,Change language,"If your form contains multiple languages, this option will appear in the 'options' dropdown menu.",,
web.forms.page.filling.menu.clear.responses,Clear responses,The option in the 'options' dropdown menu to remove your response from the current field. ,,
web.forms.page.filling.menu.exit.to.main.menu,Exit to main menu,Logged-in users will see this option in the 'options' dropdown menu.,,
web.forms.page.filling.menu.options,Options,The label for the 'options' dropdown menu.,,
web.forms.page.filling.menu.remove.current.repeat.instance,Remove current repeat instance,"In a repeat group, this option will be available in the 'options' dropdown menu.",,
web.forms.page.filling.menu.save.form,Save form,Logged-in users will see this option in the toolbar.,,
web.forms.page.filling.menu.skip.to.next,Skip to next,Logged-in users will see this option in the 'options' dropdown menu.,,
web.forms.page.filling.menu.start.over,Start over,This is the option in the 'options' dropdown menu to discard all the current responses and start over from a blank form.,,
web.forms.page.filling.menu.validate.form,Validate form,Logged-in users will see this option in the 'options' dropdown menu.,,
web.forms.page.filling.nav.end,Go to end,The tooltip that appears when you hover over the circle 'go to end' button.,,
web.forms.page.filling.nav.next,Next,The tooltip that appears when you hover over the circle 'next' button.,,
web.forms.page.filling.nav.previous,Previous,The tooltip that appears when you hover over the circle  'previous' button.,,
web.forms.page.filling.nav.start,Go to start,The tooltip that appears when you hover over the circle 'go to start' button. ,,
web.forms.page.filling.next.button,Next,The button label for the blue 'next' button at the bottom right. ,,
web.forms.page.filling.numerical.error.not.numeric,Please enter a number only.,Error message that appears when the user is prompted for a decimal value and enters something invalid.,,
web.forms.page.filling.popups.add.comment.intro,Please type your comment in the field below:,This is the field label in the pop-up to add a comment.,,
web.forms.page.filling.popups.add.comment.save.button,Save comment,This is the button label in the pop-up to save a comment.,,
web.forms.page.filling.popups.add.comment.title,Add comment,This is the title of the pop-up to add a comment.,,
web.forms.page.filling.popups.add.new.group.message,"Add a new ""{0}"" group?",{0} gets replaced with the repeat group label and must be included in your translation.,,
web.forms.page.filling.popups.add.new.group.negative.button,Do not add,The button label to not add a new group in the 'add new group' pop-up for repeat groups.,,
web.forms.page.filling.popups.add.new.group.positive.button,Add group,The button label to add a new group in the 'add new group' pop-up for repeat groups.,,
web.forms.page.filling.popups.add.new.group.title,Add new group?,The title of the 'add new group' pop-up for new repeat groups (when there are no existing instances).,,
web.forms.page.filling.popups.add.one.more.group.message,"Add another ""{0}"" group?",This is the message in the pop-up for adding a repeat group when there is already at least one instance. {0} gets replaced with the repeat group label and must be included in your translation.,,
web.forms.page.filling.popups.add.one.more.group.title,Add one more group?,The title of the 'add new group' pop-up for repeat groups that contain at least one instance already.,,
web.forms.page.filling.popups.cancel.button,Cancel,Generic button label for all 'cancel' buttons in pop-ups.,,
web.forms.page.filling.popups.capture.media.done.button,Done,The button label to save the current snapshot in the 'capture media' pop-up.,,
web.forms.page.filling.popups.capture.media.take.button,Take snapshot,The button label to take a picture in the 'capture media' pop-up.,,
web.forms.page.filling.popups.capture.media.title,Capture media,The title of the 'capture media' pop-up.,,
web.forms.page.filling.popups.clear.responses.prompt.button,Clear all responses,The button label to clear all responses in the confirmation pop-up when you attempt to clear responses. ,,
web.forms.page.filling.popups.clear.responses.prompt.message,Clear all responses on this current page?,The message in the confirmation pop-up when you attempt to clear responses. ,,
web.forms.page.filling.popups.clear.responses.prompt.title,Confirm,The title of the confirmation pop-up when you attempt to clear responses. ,,
web.forms.page.filling.popups.close.button,Close,Generic button label for all 'close' buttons in pop-ups.,,
web.forms.page.filling.popups.confirm.discard.prompt.button,"Yes, I'm sure!",This is the button label to confirm exiting without saving in the pop-up when logged in users attempt to exit to main menu and then choose to discard changes.,,
web.forms.page.filling.popups.confirm.discard.prompt.message,This will discard any new data that you have entered. Are you sure?,This is the message in the pop-up when logged in users attempt to exit to main menu and then choose to discard changes.,,
web.forms.page.filling.popups.confirm.discard.prompt.title,Confirm exit,This is the title of the pop-up when logged in users attempt to exit to main menu and then choose to discard changes.,,
web.forms.page.filling.popups.confirm.title,Confirm,Generic pop-up title for confirmation pop-ups.,,
web.forms.page.filling.popups.error.title,Error,Generic title of the pop-up window shown when an error message appears to the user and a more specific window title is not available.,,
web.forms.page.filling.popups.exit.form.prompt.message,"Do you want to save your form before exiting, or discard all changes that you've made?",This is the message in the pop-up when logged-in users attempt to exit to main menu.,,
web.forms.page.filling.popups.exit.form.prompt.negative.button,Discard Changes,This is the button label to discard changes in the pop-up when logged-in users attempt to exit to main menu.,,
web.forms.page.filling.popups.exit.form.prompt.positive.button,Save Changes,This is the button label to save changes in the pop-up when logged-in users attempt to exit to main menu.,,
web.forms.page.filling.popups.exit.form.prompt.title,Confirm exit,This is the title of the pop-up when logged-in users attempt to exit to main menu.,,
web.forms.page.filling.popups.form.saved.confirmation.message,Form successfully saved!,This is the message in the confirmation pop-up when a logged-in user saves their form successfully.,,
web.forms.page.filling.popups.form.validated.confirmation.message,Validation succeeded!,This is the message in the confirmation pop-up when a logged-in user validates their form successfully.,,
web.forms.page.filling.popups.form.validated.go.to.end.button,Go to end,This is the button label in the confirmation pop-up when a logged-in user validates their form successfully.,,
web.forms.page.filling.popups.no.cookies,"We have detected that you have disabled ""cookie"" support for this website. You can do that, but please be aware that, without cookies to track your anonymous identity, you will not be able to resume a partially-filled form should your session be interrupted for some reason.<br/><br/><b>Also, do not copy the URL you are using to fill out this survey and share it with anybody else. If you do, they can see and resume your session.</b>",The warning message that appears when a user has disabled cookies.,,
web.forms.page.filling.popups.remove.instance.prompt.button,"Yes, remove it",This is the button label in the confirmation pop-up when you try to remove the current repeat instance.,,
web.forms.page.filling.popups.remove.instance.prompt.message,Confirm group removal,This is the title of the confirmation pop-up when you try to remove the current repeat instance.,,
web.forms.page.filling.popups.remove.instance.prompt.title,"Remove group ""{0}"" and all of its sub-groups?",This is the message in the confirmation pop-up when you try to remove the current repeat instance. {0} gets replaced by the repeat group label and instance number and must be included in your translation.,,
web.forms.page.filling.popups.resume.prompt.message,"You have already started filling out this form and last updated it on {0}. Resume from where you left off, or discard that version and start again? (If you choose to start again, the old version will be discarded and there is no undo.)",This is the message in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires. {0} gets replaced with the date and time of the last form session and must be included in your translation.,,
web.forms.page.filling.popups.resume.prompt.negative.button,Discard,This is the button label to discard the old form in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires. ,,
web.forms.page.filling.popups.resume.prompt.positive.button,Resume,This is the button label to resume filling out the old form in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires. ,,
web.forms.page.filling.popups.resume.prompt.title,Un-finished form found,This is the title of the 'resume form' pop-up that is presented when a logged-in user returns after their session expires. ,,
web.forms.page.filling.popups.resume.different.caseid.message,"You are about to start a new form for case ID ""<b>{0}</b>"". We noticed that you haven't finished filling out the form for case ID ""<b>{1}</b>"". Do you want to resume filling out that form, or start a new one?","Whenever a user visits a form that they had already started filling out, SurveyCTO attempts to resume the partially-filled form from memory. If the partially-filled form has a dfferent case ID than the current URL, a pop-up will appear with this message asking which form they wish to fill out. {0} will be replaced by the case ID from the current URL, and {1} will be replaced by the case ID from memory. Both {0} and {1} must be included in your translation.",,
web.forms.page.filling.popups.resume.different.caseid.negative.button,Resume {0},The button label to continue filling out the partially-filled form from memory. {0} will be replaced by the case ID from memory and must be included in your translation.,,
web.forms.page.filling.popups.resume.different.caseid.positive.button,Start {0},The button label to start a brand new form with a new case iD. {0} will be replaced by the case ID from the current URL and must be included in your translation.,,
web.forms.page.filling.popups.resume.different.caseid.title,Warning,The title of the pop-up message prompting which case ID to use.,,
web.forms.page.filling.popups.start.over.prompt.button,Discard Changes,This is the button label to discard changes in the pop-up when you attempt to start over.,,
web.forms.page.filling.popups.start.over.prompt.message,Discard all changes and start over with a blank form?,This is the message in the pop-up when you attempt to start over.,,
web.forms.page.filling.popups.start.over.prompt.title,Confirm exit,This is the title of the pop-up when you attempt to start over.,,
web.forms.page.filling.popups.success.title,Success,Generic title of 'success' type pop-ups.,,
web.forms.page.filling.popups.warning.title,Warning,Generic title of 'warning' type pop-ups. ,,
web.forms.page.filling.repeat.table.add.row.button,Add row,,,
web.forms.page.filling.repeat.table.back.level.button,Back one level,Tooltip when you hover over the arrow button in the top left of the table summary in a repeat group with the 'table' or 'table-labeled' appearance.,,
web.forms.page.filling.repeat.table.label,Summary,The heading just above the summary table in a repeat group with the 'table' or 'table-labeled' appearance.,,
web.forms.page.filling.select1.minimal.label,Select one answer,The first option in the dropdown in a select_one field with the 'minimal' appearance.,,
web.forms.page.filling.selectx.minimal.remove.response.button.label,Remove response,The button label to remove responses in a select_multiple field with the 'minimal' appearance.,,
web.forms.page.filling.text.error.numbers.appearance.invalid.input,"Sorry, you may only enter numeric digits, plus -,+, commas, dots and spaces.","Error message that appears when the user enters one or more invalid characters into a field that uses the ""numbers"" appearance for showing the numeric keypad on mobile devices.",,
web.forms.page.filling.text.error.numbers.phone.appearance.invalid.input,"Sorry, you may only enter phone digits, plus -,+, dots, hashtags, asterisks and spaces.","Error message that appears when the user enters one or more invalid characters into a field that uses the ""numbers_phone"" appearance for showing the phone-number keypad on mobile devices.",,
web.forms.page.filling.text.error.url.appearance.blank,No url is set.,"Error message that appears when the user clicks to open the URL on a field with the ""url"" appearance but there is no URL to open.",,
web.forms.page.filling.text.intents.error.not.supported,External intents not supported in web forms. Please enter the details here.,"Error message that appears when a field with an Android ""intent"" is shown in a web form (because Android intents are not supported in web forms).",,
web.forms.page.filling.text.queries.error.not.supported,Queries not supported in web forms. Please enter the details here.,Error message that appears when a field with a text query is shown in a web form (because text queries are not supported in web forms).,,
web.forms.page.filling.text.url.appearance.button,Open Url,,,
web.forms.page.filling.text.zebra.error.not.supported,Zebra printer not supported in web forms.,Error message that appears when a field with a Zebra printer appearance is shown in a web form (because Zebra printers are not supported in web forms).,,
web.forms.page.filling.thankyou.not.submitted.text,Thank you! No data was submitted.,The message after you 'submit' a form in the test view of the Form Designer but choose to discard the data.,,
web.forms.page.filling.thankyou.not.submitted.title,Form was not submitted,The title after you 'submit' a form in the test view of the Form Designer but choose to discard the data.,,
web.forms.page.filling.thankyou.submitted.text,Thank you! Your form has been successfully submitted.,The message after you submit a form.,,
web.forms.page.filling.thankyou.submitted.title,Form successfully submitted,The title after you submit a form.,,
web.forms.page.filling.trigger.error.not.supported,Trigger fields not supported in web forms. Please enter the details here.,Error message that appears when a trigger field is shown in a web form (because trigger fields are not supported in web forms).,,
web.forms.page.filling.unknown.field.type.error.not.supported,"The type of the field '{0}' cannot be displayed in the web interface, so a text field will be used instead.",Error message that appears when a field with an unknown field type appears in a web form. {0} gets replaced with the field label and must be included in your translation.,,
web.forms.page.filling.video.select.file.button,Select video file,The button label in a 'video' field type.,,
web.forms.page.forms.header,Choose a blank form to fill out:,The heading text at the top of the 'fill blank form' page.,,
web.forms.page.forms.title,Fill blank form,The page title of the 'fill blank form' page.,,
web.forms.page.maim.delete.saved.form.button,Delete saved form,The button label on the main menu page (only available to logged-in users).,,
web.forms.page.main.download.app.button,Download app,The button label on the main menu page.,,
web.forms.page.main.edit.saved.form.button,Edit saved form,The button label on the main menu page (only available to logged-in users).,,
web.forms.page.main.fill.blank.form.button,Fill blank form,The button label on the main menu page for logged-in users to get to the 'fill blank form' page.,,
web.forms.page.main.manage.cases.button,Manage cases,The button label on the main menu page (only available to logged-in users).,,
web.forms.page.main.sub.title,"Secure, high quality data collection",The page subheading on the main menu page (only visible to logged-in users).,,
web.forms.page.main.title,Main menu,The page title of the main menu page (only visible to logged-in users).,,
web.forms.page.shared.form.delete.button,Delete,The button label for deleting a form on the 'delete saved form' page (only available to logged-in users).,,
web.forms.page.shared.form.fill.out,Fill out,The button label for filling out a form from any of the main menu sub-pages.,,
web.forms.page.shared.form.last.saved,Last saved,The label preceeding the timestamp on all of the main menu sub-pages (only available to logged-in users).,,
web.forms.page.shared.form.name,Name,The label preceeding the form name on all of the main menu sub-pages for logged-in users.,,
web.forms.page.shared.form.resume.button,Resume,The button label for resuming a form from the 'edit saved form' page (only available to logged-in users).,,
web.forms.page.shared.form.id,ID,The label preceeding the form ID on all of the main menu sub-pages.,,
web.forms.page.shared.form.title,Title,,,
web.forms.page.shared.form.version,Version,The label preceeding the form version on all the main menu sub-pages.,,
web.forms.page.shared.no.forms.msg,There are no instances.,The message when there are no saved forms on any of the main menu pages (only available to logged-in users).,,
web.forms.page.shared.return.to.main.page.button,Return to main menu,The button label for returning to the main menu when you are on any of the main menu sub-pages.,,
